Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,130,133,129,130,129,70790800
2023-01-10,130,131,128,130,130,63896200
2023-01-11,131,133,130,133,132,69458900
2023-01-12,133,134,131,133,132,71379600
